"label","center_sample_site","cell","name","ref_name","loc","bel","manhattan_dx","manhattan_dy"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[8]","FDRE","SLICE_X47Y39","SLICEL.AFF","0","0"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[12]","FDRE","SLICE_X47Y39","SLICEL.BFF","0","0"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[13]","FDRE","SLICE_X47Y39","SLICEL.CFF","0","0"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[20]","FDRE","SLICE_X49Y41","SLICEL.AFF","2","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[21]","FDRE","SLICE_X49Y41","SLICEL.BFF","2","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[24]","FDRE","SLICE_X45Y39","SLICEL.AFF","2","0"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[28]","FDRE","SLICE_X46Y41","SLICEM.AFF","1","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[29]","FDRE","SLICE_X46Y41","SLICEM.BFF","1","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[48]","FDRE","SLICE_X48Y41","SLICEL.AFF","1","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[49]","FDRE","SLICE_X48Y41","SLICEL.BFF","1","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[50]","FDRE","SLICE_X47Y41","SLICEL.AFF","0","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[51]","FDRE","SLICE_X48Y41","SLICEL.CFF","1","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[52]","FDRE","SLICE_X48Y41","SLICEL.DFF","1","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[53]","FDRE","SLICE_X48Y41","SLICEL.A5FF","1","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[54]","FDRE","SLICE_X48Y41","SLICEL.B5FF","1","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[55]","FDRE","SLICE_X48Y41","SLICEL.C5FF","1","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/RO_NUM_LOOP[4].RO_AND.u_LUT6_and2_1/u_LUT6","LUT6","SLICE_X49Y41","SLICEL.A6LUT","2","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/RO_NUM_LOOP[4].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X49Y41","SLICEL.B6LUT","2","2"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.B6LUT","2","0"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.C6LUT","2","0"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.D6LUT","2","0"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y39","SLICEM.A6LUT","1","0"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y39","SLICEM.B6LUT","1","0"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y39","SLICEM.C6LUT","1","0"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y39","SLICEM.D6LUT","1","0"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","LUT6","SLICE_X47Y39","SLICEL.A6LUT","0","0"
"second_data_ro2","SLICE_X47Y39","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.A6LUT","2","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[0]","FDRE","SLICE_X46Y39","SLICEM.AFF","1","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[4]","FDRE","SLICE_X46Y39","SLICEM.BFF","1","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[5]","FDRE","SLICE_X46Y39","SLICEM.CFF","1","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[8]","FDRE","SLICE_X47Y39","SLICEL.AFF","2","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[12]","FDRE","SLICE_X47Y39","SLICEL.BFF","2","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[13]","FDRE","SLICE_X47Y39","SLICEL.CFF","2","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[16]","FDRE","SLICE_X44Y39","SLICEL.AFF","1","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[24]","FDRE","SLICE_X45Y39","SLICEL.AFF","0","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[28]","FDRE","SLICE_X46Y41","SLICEM.AFF","1","2"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[29]","FDRE","SLICE_X46Y41","SLICEM.BFF","1","2"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[50]","FDRE","SLICE_X47Y41","SLICEL.AFF","2","2"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6","LUT6","SLICE_X44Y39","SLICEL.A6LUT","1","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X44Y39","SLICEL.B6LUT","1","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.B6LUT","0","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.C6LUT","0","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.D6LUT","0","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y39","SLICEM.A6LUT","1","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y39","SLICEM.B6LUT","1","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y39","SLICEM.C6LUT","1","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y39","SLICEM.D6LUT","1","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","LUT6","SLICE_X47Y39","SLICEL.A6LUT","2","0"
"second_data_ro2","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.A6LUT","0","0"
